species	fc	auroc	p.val	p.adj
K17879	0.074665396852015	0.5678788246721709	7.90151689657792e-4	0.0033791136964294944
K17881	-0.007002459552449344	0.5197850898494414	0.5862822912389803	0.6664017825909008
K17884	0.26279908019445	0.6060284118504128	9.061360868312107e-6	9.594918598309309e-5
K17893	-0.03242949052335651	0.4735672656629432	0.030783436344918876	0.060034870341708665
K17898	0.2592910743319543	0.6056216610004856	5.8938493541216275e-6	6.824682912960342e-5
K17899	0.3143892726455813	0.6082746478873239	1.5797845807075106e-6	2.3446243170761656e-5
K17910	0.1137563778184216	0.5512627489072365	0.19437194723061801	0.27323358194372965
K17914	-0.080193699423151	0.4652015541525012	0.2876607316056273	0.3750149327962578
K17917	-0.07029493386957046	0.46188683827100535	0.016407924237764757	0.03632759179276889
K17938	0.3100851466289146	0.579729237493929	0.003123793404569364	0.00967670425753477
K17943	-0.21496987475944312	0.4379067508499272	0.0027961349239758	0.00888308838667232
K17947	0.008180483030637328	0.5106544439048082	0.6138361417995994	0.6899910284040996
K17948	0.25854975056078905	0.6356058766391453	2.034916224413763e-7	4.572813154014543e-6
K17950	0.26106331263651117	0.6090942204953862	4.4417013096431646e-6	5.5382028084970804e-5
K17964	-0.0718746627861105	0.4668892666342884	0.14315527072989095	0.21220225587940975
K17972	0.020684193188995396	0.499307916464303	0.9069298519383853	0.9309196093122393
K17973	-0.2557563042361847	0.4032115104419621	7.645907931592665e-4	0.003298253105285384
K17981	-0.05606688660802328	0.4715638659543468	0.0301545747247467	0.059171100625397134
K17992	0.13161808296851785	0.6085539096648859	1.1765434095867278e-6	1.8533470937153305e-5
K17994	-0.01329465094387079	0.47155172413793106	0.6298394788795092	0.7037040806863055
K17995	-0.055755376625747796	0.42488465274405046	0.04965291161915491	0.08818685240687146
K17996	-0.04913754135214836	0.43560587663914524	0.11509142772544817	0.176645245524974
K17997	0.1592368727221838	0.5438258863525984	0.04476954210856143	0.08103338054006967
K17998	-0.2042135145978251	0.40528776104905295	5.652796713096866e-4	0.002642068028947448
K18006	-0.07627035519847566	0.46261534725594944	0.0071403994540583165	0.0185263788835727
K18008	0.2050291372220666	0.595865711510442	3.58069852151921e-4	0.0018643596490666486
K18009	0.03373654276414309	0.5308220009713454	0.12652103983563934	0.19116331849810272
K18011	0.2025026197267445	0.6130585235551239	2.6478964842979735e-7	5.56889462504615e-6
K18012	0.21647782904167923	0.6266816415735794	1.903933277702663e-8	7.528516766323123e-7
K18013	0.16979780967213615	0.6622814473045168	3.339106768862621e-12	1.207390652104643e-9
K18014	0.08714050753935294	0.5611279747450219	8.068317469807074e-4	0.003424920737438879
K18015	0.3177068519875059	0.5822547353084021	8.99508646009739e-4	0.0037385534373079797
K18016	6.901820736587496e-4	0.5166100048567266	0.0440987073189576	0.08001943812096435
K18021	0.055341215210034066	0.5458535696940262	1.0805568683669442e-4	7.278433435951771e-4
K18023	0.1241624567999373	0.5561741136474017	0.013870745384771732	0.03168919573114851
K18028	-0.006586981958346108	0.48016634288489557	0.6020361993223093	0.6799940317491084
K18034	0.04702685829538238	0.5188683827100534	0.3341795316674734	0.42452861296945876
K18043	-0.013242098191322218	0.48865954346770274	0.3281584226440665	0.41855062564270473
K18059	-0.1568835145109055	0.46586328314715886	0.01402901525157891	0.031958996657018963
K18067	0.19456885645259062	0.588143516270034	5.594796435832716e-4	0.002620754839474252
K18073	0.3255468229153999	0.5944936862554638	1.7994875471938343e-6	2.631419749618925e-5
K18080	-0.037078942787602744	0.4801299174356483	0.6074171699691253	0.684904831623585
K18081	-0.11077367234021504	0.4524283632831472	0.004627508533517546	0.013203669434767603
K18092	0.020704333878586896	0.49966610004856726	0.5628311793148693	0.6447756381696119
K18094	0.10145371233397914	0.522334871296746	0.1794961352345894	0.25581830220806134
K18095	0.14808831550607635	0.5317812044681884	0.07076993220855599	0.11829687134252213
K18097	-0.0647790881940976	0.42199490043710536	0.012648497912662702	0.029317832428680593
K18102	0.15116115643559228	0.5625364254492472	0.0604444234708188	0.10351676829071335
K18104	-0.09959331518224279	0.42381617289946577	0.00804163094003107	0.020376348943876393
K18106	0.008738997336448262	0.4873725109276348	0.5574619305464468	0.6400995464054539
K18107	0.0687649824828057	0.5156447304516756	0.1991338703003993	0.27867627179379084
K18118	0.13121291714779668	0.5893212724623604	5.181331669421585e-4	0.002471072747616829
K18119	0.07225510300291645	0.5351444876153473	0.030107655159017144	0.0590936088798375
K18120	0.01675464524949692	0.5126457017969888	0.6478816249539987	0.7194162934825601
K18121	0.19374495774038905	0.5877306945118991	0.001319086715704909	0.004966083683593257
K18122	0.0020941018108894503	0.4920653229723167	0.7305260812690642	0.7900129114322193
K18123	0.2824011217987573	0.5948275862068966	4.215208374658275e-5	3.4111884659620114e-4
K18130	-0.13065127911079943	0.46738101019912576	0.11788877359150257	0.18020853073028495
K18134	-0.006823369272244532	0.48505342399222917	0.40053632576832393	0.49072331302741673
K18135	-0.004910712148116381	0.4975837785332685	0.7753762146588907	0.8258761158114537
K18136	-0.05251949322457324	0.4651226323457989	0.31055551879571675	0.4002704394069875
K18138	0.15737945222432118	0.6054334628460418	2.138187870603936e-5	1.9506060218640262e-4
K18139	0.15894995000187814	0.6153897523069451	9.663332583009776e-7	1.6048394717712477e-5
K18140	0.34037640373321565	0.5840213695968917	0.001300634929812139	0.004912622822221887
K18141	0.35858669862100273	0.5913246721709567	1.969677379358714e-4	0.0011589336947336222
K18142	0.4054537911154028	0.6060891209324915	1.7068044332990695e-5	1.6260633852567782e-4
K18144	-0.004837546161766003	0.5120689655172413	0.7104538283249902	0.7730351804575704
K18146	0.17286785193283413	0.5730512384652744	0.009758472297692888	0.023827086288565662
K18148	0.49900858899466705	0.6619232637202526	8.072609247733453e-11	1.547566902668879e-8
K18149	-0.055610801769508986	0.4279201068479844	0.03157985982515545	0.06127263046563698
K18151	0.14539186297783063	0.5712603205439534	1.5609301661689834e-4	9.761949270341401e-4
